Format Version,1.23,Take Name,Take 2025-07-31 09.46.21 AM,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2025-07-31 09.46.22.302 AM,Total Frames in Take,1181,Total Exported Frames,1181,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Ball,Ball,Ball,Ball,Ball,Ball
,ID,"CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
245,4.083333,120.757843,-85.335732,126.491386,0.872589,0.930380,0.230716
246,4.100000,110.018860,-85.863907,116.679916,0.870058,0.930742,0.230837
247,4.116667,91.307693,-85.768112,98.222862,0.869044,0.930299,0.229042
248,4.133333,80.056313,-85.965843,86.569954,0.867013,0.929485,0.227239
249,4.150000,71.479141,-85.685547,77.945717,0.864912,0.929062,0.225606
250,4.166667,58.709740,-84.777023,64.863617,0.863791,0.929220,0.224131
251,4.183333,51.682198,-84.403297,57.561207,0.861953,0.928892,0.222599
252,4.200000,45.922253,-84.022430,50.919884,0.860217,0.928854,0.220045
253,4.216667,38.913639,-83.316803,44.283138,0.857972,0.928450,0.219757
254,4.233333,36.309986,-82.805779,40.571373,0.856588,0.928443,0.217063
255,4.250000,30.092188,-81.973717,34.364208,0.854829,0.928002,0.215368
256,4.266667,28.456656,-81.143280,32.321770,0.852856,0.928158,0.213307
257,4.283333,24.154953,-80.493874,28.180552,0.851124,0.928227,0.211326
258,4.300000,20.946955,-79.434013,25.719383,0.849647,0.928447,0.210784
259,4.316667,19.174795,-78.697342,24.315365,0.847657,0.928931,0.209381
260,4.333333,18.231415,-77.750793,23.250338,0.846089,0.929559,0.207137
261,4.350000,16.837196,-76.810905,21.884174,0.844667,0.929264,0.205177
262,4.366667,16.025921,-75.862335,20.694330,0.843465,0.928843,0.203004
263,4.383333,15.130954,-75.018997,19.327974,0.841744,0.928427,0.201201
264,4.400000,14.328313,-74.195076,18.571602,0.840239,0.927989,0.199907
265,4.416667,13.968246,-73.544624,17.833113,0.838448,0.928086,0.197859
266,4.433333,13.640862,-72.767822,17.032421,0.837203,0.927630,0.195770
267,4.450000,13.367706,-71.784851,16.048439,0.835732,0.927264,0.192855
268,4.466667,12.187765,-70.736130,15.292391,0.834589,0.927387,0.191463
269,4.483333,11.160892,-70.068291,14.294419,0.832999,0.927712,0.189535
270,4.500000,10.912812,-69.192894,14.917455,0.831873,0.928027,0.188769
